Name,type,price,vintage,alcohol,bottle size,country,region,grapespecies,producer,Text wine,aromas,bottles,cases,fruit,notes,palate,red,single,six,wine
Bodega La Flor Sauvignon Blanc Pulenta,2.0,11.99,2021.0,13.0,75.0,8.0,6.0,3.0,Pulenta Estate,93 james suckling 93 wine advocate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pulenta Estate VII Gran Corte,1.0,32.69,2018.0,14.5,75.0,8.0,6.0,9.0,Pulenta Estate,best uk price guaranteed,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Riccitelli Old Vines From Patagonia Merlot,1.0,32.99,2018.0,14.5,75.0,8.0,10.0,6.0,Matias Riccitelli,rocky point pinot noir deep ruby colour rocky point shows bright red berry cherry floral spice aromas nose leading smooth palate palate rich fruit flavours complemented spice dried herb notes leading long rich finishsold cases 12 bottles,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Finca La Colonia Coleccion Gruner Veltliner,2.0,11.19,2020.0,12.5,75.0,8.0,6.0,9.0,Bodega Norton,weingut robert weil rheingau riesling trocken charming fruitdriven riesling whose balanced tangy flavors means one glass never quite enough merry table companion wide range cuisines equally enjoyable served solo chilled quality glass,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Otronia Chardonnay,2.0,46.99,2017.0,14.0,75.0,8.0,10.0,2.0,Bodega Otronia,seen guardian saturday 7th august,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Pulenta Estate X Gran Malbec,1.0,29.99,2018.0,14.5,75.0,8.0,6.0,5.0,Pulenta Estate,queiron ensayos capitales 2 tempranillo blanco queiron ensayos capitales 2 tempranillo blanco appealing aromas dried apricot honey almond white flower brioche palate complex textural layers ripe stone fruit nutmeg white spice bright acidity wellintegrated lightly toasty notes leading long elegant voluptuous finish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riccitelli Old Vines From Patagonia Semillon,2.0,36.49,2021.0,13.0,75.0,8.0,10.0,9.0,Matias Riccitelli,saddle creek semillon chardonnay delicate blend herbaceous semillon exotic tropical chardonnay fruit characters subtle oak complexity balanced crisp fresh finish,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Zorzal Eggo Blanc de Cal Sauvignon Blanc,2.0,16.39,2018.0,13.0,75.0,8.0,6.0,3.0,Zorzal,vinas del cambrico rufete villanueva ruby red glass aromas strawberries balsamic hints mint fresh floral flavours mixed red berries herbs harmonious balanced tannins long finish,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dona Paula Altitude 1100 Mendoza,1.0,19.49,2019.0,14.0,75.0,8.0,6.0,9.0,Dona Paula,badiola vino de pueblo leza l3z4 rioja alavesa badiola vino de pueblo leza l3z4 rioja alavesa balanced smooth wine delivering rich aromas dark cherries complemented delicate hints spice herbal notes thyme rosemarysold cases six bottles,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Pasarisa Salta Torrontes,2.0,12.49,2021.0,14.0,75.0,8.0,10.0,9.0,Catena,featured guardian,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
Matias Riccitelli This is Not Another Lovely Malbec,1.0,12.99,2021.0,13.5,75.0,8.0,6.0,5.0,Matias Riccitelli,badiola vino de pueblo villabuena v1bn4 rioja alavesa badiola vino de pueblo villabuena v1bn4 rioja alavesa precise pure red berry aromas lead supple elegant palate spicy nuances finely grained tannins amazing flow finishsold cases six bottles,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Finca Perdriel Sauvignon Blanc,2.0,13.89,2020.0,13.0,75.0,8.0,6.0,3.0,Bodega Norton,fleurie georges duboeuf clos des quatres vents full bodied fleurie plenty oomph match trademark floral character complex nuances savoury fruity palatesold single bottles,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Matias Riccitelli Riccitelli & Father,1.0,53.99,2018.0,14.5,75.0,8.0,6.0,9.0,Matias Riccitelli,badiola las parcelas rioja alavesa badiola las parcelas rioja alavesa haa pure intense aromas dark cherry blackberry complemented violet clove highlights palate wonderful fruit concentration balanced fresh acidity characterful chalky tannins leading long mineral finishsold cases six bottles,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
Passo Blanco Masi Tupungato,2.0,10.89,2020.0,12.5,75.0,8.0,6.0,9.0,Masi Tupungato,pedrera monastrell bodegas juan gil medium bodied red jumilla region southern spain ripe juicy forward aromas red berries fresh forward easy drink ripe plummy fruit hint spice chocolate finishsold cases six bottles,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Nieto DOC Malbec,1.0,9.99,2019.0,14.5,75.0,8.0,6.0,5.0,Nieto Senetiner,itinera prosecco rose fragrant fruity delicate sparkling rosé wine flavours strawberries raspberries passionfruit fine prosecco rosésold single bottles,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0
Molinillo Malbec,1.0,8.09,2021.0,14.0,75.0,8.0,6.0,5.0,Boutinot Argentina,alpha box dice mistress red south australia black olives tapenade dried herbs rustic strawberries nose followed dusty tannins soft acidity prunes cherries darker fruits palate,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Paula Sauvignon Blanc Vina Dona Paula,2.0,9.25,2020.0,11.5,75.0,8.0,6.0,3.0,Dona Paula,prados fusion garnacha syrah campo de borja dark ruby colour prados fusion offers rich fruity nose mediterranean red fruits enhanced hints sweet spice palate seduces layers juicy red fruits smooth silky tannins long finishsold single bottles,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bodega La Flor Cabernet Sauvignon Pulenta,1.0,12.29,2020.0,14.0,75.0,8.0,6.0,9.0,Pulenta Estate,tenuta aquilaia ciliegiolo appealing wild cherry aromas lightly floral hint black pepper palate juicy sour cherry raspberry fruit supple tannins lightly savoury finish,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Porteno Sauvignon Blanc Bodega Norton,2.0,10.39,2021.0,13.5,75.0,8.0,6.0,9.0,Bodega Norton,raymond r collection chardonnay bright aromas citrus green apple tropical fruit followd notes vanilla honeysuckle crisp beautiful minerality tangy citrus notes touch vanilla exquisitely balanced palate wine smooth finishsold single bottles,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
Pulenta Estate XI Gran Cabernet Franc,1.0,29.49,2018.0,14.5,75.0,8.0,6.0,9.0,Pulenta Estate,tenuta aquilaia maremma toscana great value vibrant young red tuscanys new frontier,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
The Apple Doesn'T Fall Far From The Tree Torrontes,2.0,12.99,2020.0,14.0,75.0,8.0,6.0,9.0,Matias Riccitelli,paddock shiraz rich juicy punchy shiraz australia goes like treatsold cases 12 bottles,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Pulenta Estate I Malbec,1.0,17.89,2019.0,14.5,75.0,8.0,6.0,5.0,Pulenta Estate,ridge vineyards lytton springs zinfandel blackberry pepper licorice notes nose fullbodied ripe plum well integrated tannins long lingering finish,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Catena La Consulta Appellation Malbec,1.0,14.59,2019.0,13.5,75.0,8.0,6.0,5.0,Catena,cave de tain cornas les arenes sauvages serious bottle wine plenty structure shape also plenty plush fruit justify deep dark red intense nose raspberries spice hint graphite palate black fruits blackberry cherry pepper toast approachable evident tannins drinking potential age well,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
VistaFlor Sauvignon Blanc Chenin Blanc,2.0,9.49,2020.0,12.5,75.0,8.0,6.0,9.0,Bodega Norton,lake chalice raptor chardonnay marlborough full bodied chardonnay complex aromas flint ripe stone fruits complemented subtle hint mulled spice creamy palate threaded balancing acidity reveals layers soft vanilla tropical passionfruit mango delicious flinty overtones finishsold single bottles,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Argento Single Vineyard Altamira Organic Malbec,1.0,13.99,2019.0,13.5,75.0,8.0,6.0,5.0,Argento Wine Company,domaine la provenquiere pur cinsault sans sulfites ajoutes domaine la provenquiere pur cinsault sans sulfites ajoutes appealing fruity wine bursting aromas vibrant redberried fruit juicy notes wild strawberry redcurrant complemented sweet spice silky tannins soft finish,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
Finca La Colonia Torrontes,2.0,9.09,2021.0,13.0,75.0,8.0,6.0,9.0,Bodega Norton,indio montepulciano dabruzzo bove full bodied smooth elegant notes spice vanilla wild berries prunes nosesold single bottles,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Dona Paula Altitude 969 Mendoza,1.0,19.49,2019.0,13.5,75.0,8.0,6.0,9.0,Dona Paula,domaine de laigle gerard bertrand limoux chardonnay domaine de laigle gerard bertrand limoux chardonnay floral aromatic chardonnay white peach flavours complemented nutty toasty tones lovely creamy texture fresh light mineral overtones elegant finishsold single bottles,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
