Name,type,price,vintage,alcohol,bottle size,country,region,grapespecies,producer,Text wine
Pulenta Estate X Gran Malbec,1.0,29.99,2018.0,14.5,75.0,8,6,5,Pulenta Estate,"Queiron Ensayos Capitales 2 Tempranillo Blanco - Queiron Ensayos Capitales 2 Tempranillo Blanco has appealing aromas of dried apricot, honey, almond, white flower and brioche. The palate is complex and textural, with layers of ripe stone fruit, nutmeg and white spice over bright acidity - with well-integrated, lightly toasty notes. All leading to a long, elegant and voluptuous finish."
Riccitelli Old Vines From Patagonia Semillon,2.0,36.49,2021.0,13.0,75.0,8,10,9,Matias Riccitelli,"Saddle Creek Semillon Chardonnay - A delicate blend of herbaceous Semillon and exotic tropical Chardonnay fruit characters with subtle oak complexity balanced by a crisp, fresh finish."
Zorzal Eggo Blanc de Cal Sauvignon Blanc,2.0,16.39,2018.0,13.0,75.0,8,6,3,Zorzal,"Vinas del Cambrico Rufete Villanueva - Ruby red in the glass with aromas of strawberries, balsamic and hints of mint and fresh floral. Flavours of mixed red berries and herbs with harmonious balanced tannins and a long finish."
Dona Paula Altitude 1100 Mendoza,1.0,19.49,2019.0,14.0,75.0,8,6,9,Dona Paula,Badiola Vino de Pueblo Leza L3Z4 Rioja Alavesa - Badiola Vino de Pueblo Leza L3Z4 Rioja Alavesa is a balanced and smooth wine delivering rich aromas of dark cherries complemented by delicate hints of spice and herbal notes of thyme and rosemary.Sold in cases of six bottles
Pasarisa Salta Torrontes,2.0,12.49,2021.0,14.0,75.0,8,10,9,Catena,As featured in The Guardian 
Matias Riccitelli This is Not Another Lovely Malbec,1.0,12.99,2021.0,13.5,75.0,8,6,5,Matias Riccitelli,"Badiola Vino de Pueblo Villabuena V1BN4 Rioja Alavesa - Badiola Vino de Pueblo Villabuena V1BN4 Rioja Alavesa has precise and pure red berry aromas lead to a supple and elegant palate, with spicy nuances, finely grained tannins and an amazing flow through to the finish.Sold in cases of six bottles"
Finca Perdriel Sauvignon Blanc,2.0,13.89,2020.0,13.0,75.0,8,6,3,Bodega Norton,"Fleurie, Georges Duboeuf, Clos des Quatres Vents - Full bodied for Fleurie, with plenty of oomph to match the trademark floral character, and complex nuances, both savoury and fruity, on the palate.Sold in single bottles"
Matias Riccitelli Riccitelli & Father,1.0,53.99,2018.0,14.5,75.0,8,6,9,Matias Riccitelli,"Badiola Las Parcelas Rioja Alavesa - Badiola Las Parcelas Rioja Alavesa haa pure and intense aromas of dark cherry and blackberry are complemented by violet and clove highlights. On the palate the wonderful fruit concentration is balanced by fresh acidity, with characterful chalky tannins leading to a long, mineral finish.Sold in cases of six bottles"
Passo Blanco Masi Tupungato,2.0,10.89,2020.0,12.5,75.0,8,6,9,Masi Tupungato,"Pedrera Monastrell Bodegas Juan Gil - A medium bodied red from the Jumilla region of southern Spain. Ripe, juicy and forward with aromas of red berries. Fresh, forward, and easy to drink, with ripe plummy fruit and a hint of spice and chocolate on the finish.Sold in cases of six bottles"
Nieto DOC Malbec,1.0,9.99,2019.0,14.5,75.0,8,6,5,Nieto Senetiner,"Itinera Prosecco Rose - A fragrant, fruity, delicate sparkling rosé wine with flavours of strawberries, raspberries and passionfruit. A fine Prosecco RoséSold in single bottles"
